1.239147831656745691e+00,1.205563081898508804e+00,1.087486872317688036e+00,1.040269371848972835e+00,1.122706899612772480e+00
1.284713482502198856e+00,1.246655441758426353e+00,1.119101028681627641e+00,1.077327587096222450e+00,1.156396178666126762e+00
1.329485526691615460e+00,1.288708856793845836e+00,1.148885346372095384e+00,1.116042116369732495e+00,1.187092579882830901e+00
1.374891904731350145e+00,1.328657667572163747e+00,1.179291908509827902e+00,1.152737389466444773e+00,1.219217431516334882e+00
1.422142800539435203e+00,1.369686471156488894e+00,1.205606762590490932e+00,1.188943509232229800e+00,1.247475603117521592e+00
1.467328329448835955e+00,1.411327739175100460e+00,1.235595677899359535e+00,1.225703613205636922e+00,1.275463277842449505e+00
1.513931894445333493e+00,1.451260084486284185e+00,1.260005799936524840e+00,1.261474131629245043e+00,1.303873150524457181e+00
1.561621346577343195e+00,1.489938273263920587e+00,1.281609948147201639e+00,1.298869821627848031e+00,1.329269210281551983e+00
1.609579188112457260e+00,1.528353084780919025e+00,1.304401468573399336e+00,1.334144658089368551e+00,1.356935650694975015e+00
1.655873987907183320e+00,1.564656133329882293e+00,1.329121370567156291e+00,1.367335994978067459e+00,1.381896328063663359e+00
1.701213850596841493e+00,1.604806755755686654e+00,1.346515279125210185e+00,1.401832753769785000e+00,1.404520422648446676e+00
1.748451740892179362e+00,1.640098553248349633e+00,1.367943049680124368e+00,1.435471567427902162e+00,1.425437163168898014e+00
1.794306551162811347e+00,1.675051486098784403e+00,1.386794258711614214e+00,1.470486366294024849e+00,1.446423640862119386e+00
1.843368809297031730e+00,1.709321889180486220e+00,1.403684084289908984e+00,1.501997672302905817e+00,1.466077332320712578e+00
1.889011283927408469e+00,1.746627080733418325e+00,1.419072690668221393e+00,1.534000481760296131e+00,1.483907464261042586e+00
1.936032701101894515e+00,1.777616364814833094e+00,1.434748779740092628e+00,1.566401068777271366e+00,1.500654878765178113e+00
1.980459547785953900e+00,1.807084845765535075e+00,1.448155142901806247e+00,1.597646108455650582e+00,1.513774702396976535e+00
2.027923249949553419e+00,1.839427022944619905e+00,1.461836723772139246e+00,1.625384022265043971e+00,1.530718078684594419e+00
2.074599044086280486e+00,1.868484340065369009e+00,1.472517108527748642e+00,1.654964580038184918e+00,1.545913545901895558e+00
2.118355226083685316e+00,1.895910920941220379e+00,1.482321174647592610e+00,1.684141619267199408e+00,1.554316238743403300e+00
2.162944730081744371e+00,1.921791598355899966e+00,1.494863511653036436e+00,1.709742205374199742e+00,1.563746202691679077e+00
2.210029715816356433e+00,1.949619718837364735e+00,1.499051038785942813e+00,1.736472078682148146e+00,1.577290586952215579e+00
2.253668725976830434e+00,1.976490948941127312e+00,1.511354288832816195e+00,1.761521861309127246e+00,1.587410344834869091e+00
2.298200872971617237e+00,2.001904807414032206e+00,1.517733525926336924e+00,1.786561255936041981e+00,1.597529393348154692e+00
2.344637306884906014e+00,2.019662644139733843e+00,1.523800268468637586e+00,1.811833082148488039e+00,1.603019573755396721e+00
2.386089868679626136e+00,2.044096885571425659e+00,1.530116240609945555e+00,1.832876938411691414e+00,1.615051953068914248e+00
2.429618352403628112e+00,2.063591692697507085e+00,1.536348169064338354e+00,1.855944099976017281e+00,1.619061208970872912e+00
2.473170950659088430e+00,2.087824511779655889e+00,1.543400538682218270e+00,1.874240185743597520e+00,1.625445443097774501e+00
2.517091476297434571e+00,2.096533311678141054e+00,1.542429130286948613e+00,1.894113623035235117e+00,1.625427199296770597e+00
2.557231575002682167e+00,2.121899882690498895e+00,1.547798141257144433e+00,1.915555445103004129e+00,1.632088556193065587e+00
